날짜,종가
2020-10-12,60400.0
2020-10-13,60900.0
2020-10-14,60900.0
2020-10-15,60000.0
2020-10-16,59500.0
2020-10-19,60000.0
2020-10-20,60900.0
2020-10-21,60900.0
2020-10-22,60100.0
2020-10-23,60200.0
2020-10-26,60400.0
2020-10-27,59800.0
2020-10-28,59000.0
2020-10-29,58100.0
2020-10-30,56600.0
2020-11-02,57400.0
2020-11-03,58800.0
2020-11-04,58500.0
2020-11-05,60300.0
2020-11-06,60100.0
2020-11-09,60200.0
2020-11-10,60200.0
2020-11-11,61300.0
2020-11-12,61000.0
2020-11-13,63200.0
2020-11-16,66300.0
2020-11-17,65700.0
2020-11-18,64800.0
2020-11-19,64600.0
2020-11-20,64700.0
2020-11-23,67500.0
2020-11-24,67700.0
2020-11-25,66600.0
2020-11-26,68000.0
2020-11-27,68200.0
2020-11-30,66700.0
2020-12-01,67800.0
2020-12-02,69500.0
2020-12-03,69700.0
2020-12-04,71500.0
2020-12-07,72900.0
2020-12-08,71700.0
2020-12-09,73900.0
2020-12-10,72900.0
2020-12-11,73400.0
2020-12-14,73800.0
2020-12-15,73800.0
2020-12-16,73800.0
2020-12-17,73300.0
2020-12-18,73000.0
2020-12-21,73000.0
2020-12-22,72300.0
2020-12-23,73900.0
2020-12-24,77800.0
2020-12-28,78700.0
2020-12-29,78300.0
2020-12-30,81000.0
2021-01-04,83000.0
2021-01-05,83900.0
2021-01-06,82200.0
2021-01-07,82900.0
2021-01-08,88800.0
2021-01-11,91000.0
2021-01-12,90600.0
2021-01-13,89700.0
2021-01-14,89700.0
2021-01-15,88000.0
2021-01-18,85000.0
2021-01-19,87000.0
2021-01-20,87200.0
2021-01-21,88100.0
2021-01-22,86800.0
2021-01-25,89400.0
2021-01-26,86700.0
2021-01-27,85600.0
2021-01-28,83700.0
2021-01-29,82000.0
2021-02-01,83000.0
2021-02-02,84400.0
2021-02-03,84600.0
2021-02-04,82500.0
2021-02-05,83500.0
2021-02-08,83000.0
2021-02-09,82700.0
2021-02-10,81600.0
2021-02-15,84200.0
2021-02-16,84900.0
2021-02-17,83200.0
2021-02-18,82100.0
2021-02-19,82600.0
2021-02-22,82200.0
2021-02-23,82000.0
2021-02-24,82000.0
2021-02-25,85300.0
2021-02-26,82500.0
2021-03-02,83600.0
2021-03-03,84000.0
2021-03-04,82400.0
2021-03-05,82100.0
2021-03-08,82000.0
2021-03-09,81400.0
2021-03-10,80900.0
2021-03-11,82000.0
2021-03-12,82800.0
2021-03-15,81800.0
2021-03-16,82800.0
2021-03-17,82300.0
2021-03-18,82900.0
2021-03-19,81900.0
2021-03-22,82000.0
2021-03-23,81800.0
2021-03-24,81000.0
2021-03-25,81200.0
2021-03-26,81500.0
2021-03-29,81600.0
2021-03-30,82200.0
2021-03-31,81400.0
2021-04-01,82900.0
2021-04-02,84800.0
2021-04-05,85400.0
2021-04-06,86000.0
2021-04-07,85600.0
2021-04-08,84700.0
2021-04-09,83600.0
2021-04-12,83200.0
2021-04-13,84000.0
2021-04-14,84000.0
2021-04-15,84100.0
2021-04-16,83900.0
2021-04-19,83300.0
2021-04-20,83900.0
2021-04-21,82600.0
2021-04-22,82400.0
2021-04-23,82800.0
2021-04-26,83500.0
2021-04-27,82900.0
2021-04-28,82100.0
2021-04-29,81700.0
2021-04-30,81500.0
2021-05-03,81700.0
2021-05-04,82600.0
2021-05-06,82300.0
2021-05-07,81900.0
2021-05-10,83200.0
2021-05-11,81200.0
2021-05-12,80000.0
2021-05-13,78500.0
2021-05-14,80100.0
2021-05-17,79600.0
2021-05-18,79600.0
2021-05-20,79500.0
2021-05-21,80100.0
2021-05-24,79700.0
2021-05-25,79900.0
2021-05-26,79800.0
2021-05-27,79600.0
2021-05-28,80100.0
2021-05-31,80500.0
2021-06-01,80600.0
2021-06-02,80800.0
2021-06-03,82800.0
2021-06-04,82200.0
2021-06-07,81900.0
2021-06-08,81900.0
2021-06-09,81100.0
2021-06-10,81000.0
2021-06-11,81000.0
2021-06-14,80500.0
2021-06-15,80900.0
2021-06-16,81800.0
2021-06-17,80900.0
2021-06-18,80500.0
2021-06-21,79900.0
2021-06-22,80000.0
2021-06-23,80100.0
2021-06-24,81200.0
2021-06-25,81600.0
2021-06-28,81900.0
2021-06-29,81000.0
2021-06-30,80700.0
2021-07-01,80100.0
2021-07-02,80000.0
2021-07-05,80400.0
2021-07-06,81200.0
2021-07-07,80800.0
2021-07-08,79900.0
2021-07-09,79400.0
2021-07-12,79700.0
2021-07-13,79800.0
2021-07-14,79500.0
2021-07-15,80600.0
2021-07-16,79800.0
2021-07-19,79000.0
2021-07-20,79000.0
2021-07-21,78500.0
2021-07-22,79700.0
2021-07-23,79300.0
2021-07-26,78800.0
2021-07-27,78500.0
2021-07-28,79200.0
2021-07-29,79000.0
2021-07-30,78500.0
2021-08-02,79300.0
2021-08-03,81400.0
2021-08-04,82900.0
2021-08-05,82100.0
2021-08-06,81500.0
2021-08-09,81500.0
2021-08-10,80200.0
2021-08-11,78500.0
2021-08-12,77000.0
2021-08-13,74400.0
2021-08-17,74200.0
2021-08-18,73900.0
2021-08-19,73100.0
2021-08-20,72700.0
2021-08-23,73300.0
2021-08-24,75600.0
2021-08-25,75700.0
2021-08-26,74600.0
2021-08-27,74300.0
2021-08-30,74600.0
2021-08-31,76700.0
2021-09-01,76800.0
2021-09-02,76000.0
2021-09-03,76600.0
2021-09-06,77300.0
2021-09-07,76100.0
2021-09-08,76300.0
2021-09-09,75300.0
2021-09-10,75300.0
2021-09-13,76300.0
2021-09-14,76600.0
2021-09-15,77000.0
2021-09-16,76100.0
2021-09-17,77200.0
2021-09-23,77400.0
2021-09-24,77300.0
2021-09-27,77700.0
2021-09-28,76300.0
2021-09-29,74100.0
2021-09-30,74100.0
2021-10-01,73200.0
2021-10-05,72200.0
2021-10-06,71300.0
2021-10-07,71600.0
2021-10-08,71500.0
2021-10-12,69000.0
2021-10-13,68800.0
2021-10-14,69400.0
2021-10-15,70100.0
2021-10-18,70200.0
2021-10-19,70600.0
2021-10-20,70300.0
2021-10-21,70200.0
2021-10-22,70400.0
2021-10-25,70200.0
2021-10-26,71100.0
2021-10-27,70100.0
2021-10-28,70700.0
2021-10-29,69800.0
2021-11-01,69900.0
2021-11-02,71500.0
2021-11-03,70400.0
2021-11-04,70600.0
2021-11-05,70200.0
2021-11-08,70600.0
2021-11-09,70500.0
2021-11-10,70200.0
2021-11-11,69900.0
2021-11-12,70600.0
2021-11-15,71400.0
2021-11-16,71300.0
2021-11-17,70700.0
2021-11-18,70200.0
2021-11-19,71200.0
2021-11-22,74900.0
2021-11-23,75300.0
2021-11-24,74800.0
2021-11-25,73700.0
2021-11-26,72300.0
2021-11-29,72300.0
2021-11-30,71300.0
2021-12-01,74400.0
2021-12-02,75800.0
2021-12-03,75600.0
2021-12-06,76300.0
2021-12-07,77400.0
2021-12-08,77400.0
2021-12-09,78200.0
2021-12-10,76900.0
2021-12-13,76800.0
2021-12-14,77000.0
2021-12-15,77600.0
2021-12-16,77800.0
2021-12-17,78000.0
2021-12-20,77100.0
2021-12-21,78100.0
2021-12-22,79400.0
2021-12-23,79900.0
2021-12-24,80500.0
2021-12-27,80200.0
2021-12-28,80300.0
2021-12-29,78800.0
2021-12-30,78300.0
2022-01-03,78600.0
2022-01-04,78700.0
2022-01-05,77400.0
2022-01-06,76900.0
2022-01-07,78300.0
2022-01-10,78000.0
2022-01-11,78900.0
2022-01-12,78900.0
2022-01-13,77900.0
2022-01-14,77300.0
2022-01-17,77500.0
2022-01-18,77000.0
2022-01-19,76300.0
2022-01-20,76500.0
2022-01-21,75600.0
2022-01-24,75100.0
2022-01-25,74000.0
2022-01-26,73300.0
2022-01-27,71300.0
2022-01-28,73300.0
2022-02-03,73300.0
2022-02-04,74000.0
2022-02-07,73000.0
2022-02-08,73500.0
2022-02-09,74700.0
2022-02-10,75400.0
2022-02-11,74900.0
2022-02-14,73700.0
2022-02-15,73700.0
2022-02-16,74800.0
2022-02-17,75000.0
2022-02-18,74300.0
2022-02-21,74200.0
2022-02-22,73400.0
2022-02-23,73000.0
2022-02-24,71500.0
2022-02-25,71900.0
2022-02-28,72100.0
2022-03-02,71700.0
2022-03-03,72900.0
2022-03-04,71500.0
2022-03-07,70100.0
2022-03-08,69500.0
2022-03-10,71200.0
2022-03-11,70000.0
2022-03-14,70200.0
2022-03-15,69500.0
2022-03-16,70400.0
2022-03-17,71200.0
2022-03-18,70700.0
2022-03-21,69900.0
2022-03-22,70300.0
2022-03-23,70500.0
2022-03-24,69800.0
2022-03-25,69800.0
2022-03-28,69700.0
2022-03-29,70200.0
2022-03-30,69900.0
2022-03-31,69600.0
2022-04-01,69100.0
2022-04-04,69300.0
2022-04-05,69200.0
2022-04-06,68500.0
2022-04-07,68000.0
2022-04-08,67800.0
2022-04-11,67900.0
2022-04-12,67000.0
2022-04-13,68700.0
2022-04-14,67500.0
2022-04-15,66600.0
2022-04-18,66700.0
2022-04-19,67300.0
2022-04-20,67400.0
2022-04-21,67700.0
2022-04-22,67000.0
2022-04-25,66300.0
2022-04-26,66100.0
2022-04-27,65000.0
2022-04-28,64800.0
2022-04-29,67400.0
2022-05-02,67300.0
2022-05-03,67500.0
2022-05-04,67900.0
2022-05-06,66500.0
2022-05-09,66100.0
2022-05-10,65700.0
2022-05-11,65700.0
2022-05-12,64900.0
2022-05-13,66500.0
2022-05-16,66300.0
2022-05-17,67600.0
2022-05-18,68100.0
2022-05-19,67500.0
2022-05-20,68000.0
2022-05-23,67900.0
2022-05-24,66500.0
2022-05-25,66400.0
2022-05-26,65900.0
2022-05-27,66500.0
2022-05-30,67700.0
2022-05-31,67400.0
2022-06-02,66700.0
2022-06-03,66800.0
2022-06-07,65500.0
2022-06-08,65300.0
2022-06-09,65200.0
2022-06-10,63800.0
2022-06-13,62100.0
2022-06-14,61900.0
2022-06-15,60700.0
2022-06-16,60900.0
2022-06-17,59800.0
2022-06-20,58700.0
2022-06-21,58500.0
2022-06-22,57600.0
2022-06-23,57400.0
2022-06-24,58400.0
2022-06-27,58800.0
2022-06-28,59400.0
2022-06-29,58000.0
2022-06-30,57000.0
2022-07-01,56200.0
2022-07-04,57100.0
2022-07-05,57200.0
2022-07-06,56400.0
2022-07-07,58200.0
2022-07-08,58700.0
2022-07-11,58800.0
2022-07-12,58100.0
2022-07-13,58000.0
2022-07-14,57500.0
2022-07-15,60000.0
2022-07-18,61900.0
2022-07-19,60900.0
2022-07-20,60500.0
2022-07-21,61800.0
2022-07-22,61300.0
2022-07-25,61100.0
2022-07-26,61700.0
2022-07-27,61800.0
2022-07-28,61900.0
2022-07-29,61400.0
2022-08-01,61300.0
2022-08-02,61700.0
2022-08-03,61300.0
2022-08-04,61500.0
2022-08-05,61500.0
2022-08-08,60800.0
2022-08-09,60000.0
2022-08-10,59100.0
2022-08-11,59900.0
2022-08-12,60200.0
2022-08-16,61000.0
2022-08-17,60400.0
2022-08-18,61500.0
2022-08-19,60900.0
2022-08-22,60000.0
2022-08-23,59100.0
2022-08-24,59000.0
2022-08-25,59700.0
2022-08-26,60000.0
2022-08-29,58600.0
2022-08-30,58800.0
2022-08-31,59700.0
2022-09-01,58400.0
2022-09-02,57500.0
2022-09-05,57100.0
2022-09-06,57100.0
2022-09-07,56000.0
2022-09-08,55600.0
2022-09-13,58100.0
2022-09-14,56800.0
2022-09-15,56000.0
2022-09-16,56200.0
2022-09-19,56400.0
2022-09-20,55800.0
2022-09-21,55300.0
2022-09-22,54400.0
2022-09-23,54500.0
2022-09-26,53900.0
2022-09-27,54200.0
2022-09-28,52900.0
2022-09-29,52600.0
2022-09-30,53100.0
2022-10-04,55200.0
2022-10-05,56000.0
2022-10-06,56300.0
2022-10-07,56200.0
2022-10-11,55400.0
2022-10-12,55800.0
2022-10-13,55200.0
2022-10-14,56300.0
2022-10-17,56600.0
2022-10-18,56500.0
2022-10-19,55800.0
2022-10-20,55500.0
2022-10-21,55900.0
2022-10-24,57500.0
2022-10-25,57700.0
2022-10-26,59400.0
2022-10-27,59500.0
2022-10-28,57300.0
2022-10-31,59400.0
2022-11-01,60000.0
2022-11-02,59600.0
2022-11-03,59200.0
2022-11-04,59400.0
2022-11-07,60200.0
2022-11-08,61800.0
2022-11-09,62000.0
2022-11-10,60400.0
2022-11-11,62900.0
2022-11-14,61900.0
2022-11-15,62400.0
2022-11-16,62700.0
2022-11-17,61400.0
2022-11-18,61800.0
2022-11-21,61400.0
2022-11-22,60600.0
2022-11-23,61000.0
2022-11-24,61400.0
2022-11-25,61000.0
2022-11-28,60100.0
2022-11-29,60600.0
2022-11-30,62200.0
2022-12-01,62600.0
2022-12-02,60400.0
2022-12-05,60300.0
2022-12-06,59200.0
2022-12-07,58900.0
2022-12-08,59200.0
2022-12-09,60400.0
2022-12-12,59500.0
2022-12-13,59700.0
2022-12-14,60500.0
2022-12-15,59300.0
2022-12-16,59500.0
2022-12-19,59500.0
2022-12-20,58600.0
2022-12-21,58000.0
2022-12-22,59100.0
2022-12-23,58100.0
2022-12-26,57900.0
2022-12-27,58100.0
2022-12-28,56600.0
2022-12-29,55300.0
2023-01-02,55500.0
2023-01-03,55400.0
2023-01-04,57800.0
2023-01-05,58200.0
2023-01-06,59000.0
2023-01-09,60700.0
2023-01-10,60400.0
2023-01-11,60500.0
2023-01-12,60500.0
2023-01-13,60800.0
2023-01-16,61100.0
2023-01-17,61000.0
2023-01-18,60400.0
2023-01-19,61500.0
2023-01-20,61800.0
2023-01-25,63400.0
2023-01-26,63900.0
2023-01-27,64600.0
2023-01-30,63300.0
2023-01-31,61000.0
2023-02-01,61800.0
2023-02-02,63500.0
2023-02-03,63800.0
2023-02-06,61600.0
2023-02-07,61900.0
2023-02-08,63100.0
2023-02-09,63000.0
2023-02-10,62800.0
2023-02-13,62900.0
2023-02-14,63200.0
2023-02-15,62200.0
2023-02-16,63700.0
2023-02-17,62600.0
2023-02-20,62700.0
2023-02-21,62100.0
2023-02-22,61100.0
2023-02-23,62000.0
2023-02-24,61300.0
2023-02-27,60500.0
2023-02-28,60600.0
2023-03-02,60800.0
2023-03-03,60500.0
2023-03-06,61500.0
2023-03-07,60700.0
2023-03-08,60300.0
2023-03-09,60100.0
2023-03-10,59500.0
2023-03-13,60000.0
2023-03-14,59300.0
2023-03-15,59305.40449406649
2023-03-16,59106.60463503156
2023-03-17,59208.18032070571
2023-03-18,59305.0786790753
2023-03-19,59288.62213213538
2023-03-20,59530.97325884019
2023-03-21,58967.80076198407
2023-03-22,58743.91788720888
2023-03-23,58901.254478553354
2023-03-24,58580.41384429736
2023-03-25,58501.060189297714
2023-03-26,58249.29868789579
2023-03-27,58454.416544815576
2023-03-28,58425.82782408495
2023-03-29,58527.8496161951
2023-03-30,58595.55794850318
2023-03-31,58659.3779195072
2023-04-01,58687.22431081471
2023-04-02,58191.10216232872
2023-04-03,58017.081378921765
2023-04-04,58275.58672227764
2023-04-05,58033.78138787259
2023-04-06,57790.40174821506
2023-04-07,57665.545049190114
2023-04-08,57927.205538936425
2023-04-09,57946.806812899296
2023-04-10,58048.95490618455
2023-04-11,58108.39898966014
2023-04-12,58194.946762218584
2023-04-13,58162.062803188805
2023-04-14,57684.92387733058
